"Film","Year","Script.Type","Rotten.Tomatoes..critics","Metacritic..critics","Average.critics","Rotten.Tomatoes.Audience","Metacritic.Audience","Rotten.Tomatoes.vs.Metacritic..deviance","Average.audience","Audience.vs.Critics.deviance","Primary.Genre","Genre","Opening.Weekend","Opening.weekend...million.","Domestic.Gross","Domestic.gross...million.","Foreign.Gross...million.","Foreign.Gross","Worldwide.Gross","Worldwide.Gross...million.","of.Gross.earned.abroad","Budget...million.","Budget.recovered","Budget.recovered.opening.weekend","Oscar.Winners","Oscar.Detail","Link","None","Distributor","IMDb.Rating","IMDB.vs.RT.disparity","Release.Date..US.","financial.source..if.not.The.numbers"
"The House",2017,"original screenplay","17","30","24",36,"40","-4","38","-15",NA,"comedy","8724795","8.72","25584504",25.58,"8.6","8600000","34184504","34.18","25.16%","40","85.46%","21.81%","","","https://www.amazon.co.uk/House-Will-Ferrell/dp/B072X68NZ5/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978860&sr=1-1&keywords=The+House",NA,NA,NA,NA,"Jun 30, 2017",NA
"The LEGO Batman Movie",2017,"sequel","91","75","83",80,"76","4","78","5",NA,"animation","53003468","53","175750384",175.75,"136.2","136200000","311950384","311.95","43.66%","80","389.94%","66.25%","","","https://www.amazon.co.uk/LEGO-Batman-Movie-Will-Arnett/dp/B01MZGF2DX/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981581&sr=1-1&keywords=The+LEGO+Batman+Movie",NA,NA,NA,NA,"Feb 10, 2017",NA
"The LEGO Ninjago Movie",2017,"sequel","54","55","55",49,"48","1","49","6",NA,"animation","20433071","20.43","59281555",59.28,"63.3","63300000","122581555","122.58","51.64%","70","175.12%","29.19%","","","https://www.amazon.co.uk/LEGO-NINJAGO-Movie-Jackie-Chan/dp/B075X17MCN/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981544&sr=1-1&keywords=The+LEGO+Ninjago+Movie",NA,NA,NA,NA,"Sep 22, 2017",NA
"The Lost City of Z",2017,"adaptation, based on a true story","87","78","83",57,"69","-12","63","20",NA,"action, adventure","110175","0.11","8580410",8.58,"0","0","8580410","8.58","0.00%","30","28.60%","0.37%","","","https://www.amazon.co.uk/Lost-City-Z-Charlie-Hunnam/dp/B06XH7FH7R/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981226&sr=1-1&keywords=The+Lost+City+of+Z",NA,NA,NA,NA,"Apr 21, 2017",NA
"The Man Who Invented Christmas",2017,"adaptation, based on a true story","80","60","70",84,"61","23","73","-3",NA,"drama","1353297","1.35","4664004",4.66,"0","0","4664004","4.66","0.00%","-","-","-","","","https://www.amazon.co.uk/Man-Who-Invented-Christmas/dp/B07B889P5J/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980815&sr=1-1&keywords=The+Man+Who+Invented+Christmas",NA,NA,NA,NA,"Nov 22, 2017",NA
"The Mountain Between Us",2017,"adaptation","41","48","45",51,"45","6","48","-4",NA,"drama","10551336","10.55","30274513",30.27,"29.58","29580467","59854980","59.85","49.42%","35","171.01%","30.15%","","","https://www.amazon.co.uk/Mountain-Between-Us-Kate-Winslet/dp/B076DTW7V1/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980730&sr=1-1&keywords=The+Mountain+Between+Us",NA,NA,NA,NA,"Oct 6, 2017",NA
"The Mummy",2017,"remake","16","34","25",36,"48","-12","42","-17",NA,"action, adventure","31688375","31.69","80101125",80.1,"329","329003712","409104837","409.1","80.42%","125","327.28%","25.35%","","","https://www.amazon.co.uk/Mummy-Tom-Cruise/dp/B071ZQWYL7/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546978596&sr=1-2&keywords=The+Mummy",NA,NA,NA,NA,"Jun 9, 2017",NA
"The Nut Job 2: Nutty by Nature",2017,"sequel","9","36","23",44,"39","5","42","-19",NA,"animation","8342311","8.34","28370522",28.37,"36.82","36823191","65193713","65.19","56.48%","40","162.98%","20.86%","","","https://www.amazon.co.uk/Nut-Job-Nutty-Nature/dp/B074PC7YTL/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978546&sr=1-1&keywords=The+Nut+Job+23A+Nutty+by+Nature",NA,NA,NA,NA,"Aug 11, 2017",NA
"The Promise ",2017,"original screenplay","49","49","49",92,"71","21","82","-33",NA,"drama","4095718","4.1","8224288",8.22,"0","0","8224288","8.22","0.00%","90","9.14%","4.55%","","","https://www.amazon.co.uk/Promise-Oscar-Isaac/dp/B071KX938X/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546977579&sr=1-1&keywords=The+Promise",NA,NA,NA,NA,"Apr 21, 2017",NA
"The Shack",2017,"adaptation","20","32","26",78,"52","26","65","-39",NA,"drama","16172119","16.17","57386418",57.39,"39.56","39555697","96942115","96.94","40.80%","20","484.71%","80.86%","","","https://www.amazon.co.uk/Shack-Sam-Worthington/dp/B072JL35P8/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546977512&sr=1-1&keywords=The+Shack",NA,NA,NA,NA,"Mar 3, 2017",NA
"The Snowman",2017,"adaptation","8","23","16",21,"32","-11","27","-11",NA,"thriller","3372565","3.37","6670765",6.67,"36","36000000","42670765","42.67","84.37%","35","121.92%","9.64%","","","https://www.amazon.co.uk/Snowman-Michael-Fassbender/dp/B076B6XG5B/ref=sr_1_4?s=instant-video&ie=UTF8&qid=1546978979&sr=1-4&keywords=The+Snowman",NA,NA,NA,NA,"Oct 20, 2017",NA
"The Space Between Us",2017,"original screenplay","16","33","25",55,"44","11","50","-25",NA,"sci-fi, adventure","3775596","3.78","7885294",7.89,"6.91","6908091","14793385","14.79","46.70%","30","49.31%","12.59%","","","https://www.amazon.co.uk/Space-Between-Us-Asa-Butterfield/dp/B072HMVJ5M/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546977770&sr=1-1&keywords=The+Space+Between+Us",NA,NA,NA,NA,"Feb 3, 2017",NA
"The Star",2017,"original screenplay","43","42","43",75,"60","15","68","-25",NA,"animation","9812674","9.81","33324147",33.32,"9.39","9392726","42716873","42.72","21.99%","20","213.58%","49.06%","","","https://www.amazon.co.uk/Star-Steven-Yeun/dp/B077FZD4KT/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546977761&sr=1-1&keywords=The+Star",NA,NA,NA,NA,"Nov 17, 2017",NA
"The Zookeeper's Wife",2017,"adaptation","61","57","59",77,"72","5","75","-16",NA,"drama","3288835","3.29","17445186",17.45,"5.73","5727421","23172607","23.17","24.72%","20","115.86%","16.44%","","","https://www.amazon.co.uk/Zookeepers-Wife-Jessica-Chastain/dp/B074TVPJ6L/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978827&sr=1-1&keywords=The+Zookeeper27s+Wife",NA,NA,NA,NA,"Mar 31, 2017",NA
"Their Finest",2017,"adaptation","89","76","83",72,"64","8","68","15",NA,"comedy, drama","76197","0.08","3603484",3.6,"0","0","3603484","3.6","0.00%","12","30.03%","0.63%","","","https://www.amazon.co.uk/Their-Finest-Gemma-Arterton/dp/B06Y62TF2L/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981270&sr=1-1&keywords=Their+Finest",NA,NA,NA,NA,"Apr 7, 2017",NA
"Thor: Ragnarok",2017,"adaptation","92","73","83",88,"80","8","84","-2",NA,"action, adventure","122744989","122.74","302950227",302.95,"532.57","532567590","835517817","835.52","63.74%","180","464.18%","68.19%","","","https://www.amazon.co.uk/Thor-Ragnarok-Theatrical-Chris-Hemsworth/dp/B076MN9MBM/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980871&sr=1-1&keywords=Thor3A+Ragnarok",NA,NA,NA,NA,"Nov 3, 2017",NA
"Three Billboards Outside Ebbing, Missouri",2017,"original screenplay","93","87","90",87,"77","10","82","8",NA,"crime, comedy","322168","0.32","19459498",19.46,"0","0","19459498","19.46","0.00%","12","162.16%","2.68%","Oscar Winner","Best Actress, Best Supporting Actor","https://www.amazon.co.uk/Three-Billboards-Outside-Ebbing-Missouri/dp/B078SL1XQJ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981518&sr=1-1&keywords=Three+Billboards+Outside+Ebbing2C+Missouri",NA,NA,NA,NA,"Dec 8, 2017",NA
"Til Death Do Us Part",2017,"original screenplay","-","-","-",64,"-","-","-","-",NA,"thriller","1527289","1.53","3455267",3.46,"0","0","3455267","3.46","0.00%","-","-","-","","","-",NA,NA,NA,NA,"Sep 29, 2017",NA
"Transformers: The Last Knight",2017,"sequel, adaptation","15","28","22",45,"41","4","43","-22",NA,"sci-fi, action","44680073","44.68","130168683",130.17,"475.26","475256474","605425157","605.43","78.50%","217","279.00%","20.59%","","","https://www.amazon.co.uk/Transformers-Last-Knight-Mark-Wahlberg/dp/B072X41LGF/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978209&sr=1-1&keywords=Transformers3A+The+Last+Knight",NA,NA,NA,NA,"Jun 21, 2017",NA
"Tyler Perry's Boo 2! A Madea Halloween",2017,"sequel","6","17","12",42,"21","21","32","-20",NA,"comedy","21226953","21.23","47313711",47.31,"1.01","1012798","48326509","48.33","2.10%","25","193.31%","84.91%","","","https://www.amazon.co.uk/Tyler-Perrys-Boo-Madea-Halloween/dp/B078RTJJ9J/ref=sr_1_fkmr0_1?s=instant-video&ie=UTF8&qid=1546978498&sr=8-1-fkmr0&keywords=tyler+perry27s+book+221+a+madea+halloween",NA,NA,NA,NA,"Oct 20, 2017",NA
"Underworld: Blood Wars",2017,"sequel","20","23","22",50,"52","-2","51","-30",NA,"action, horror","13688751","13.69","30353973",30.35,"50.74","50739340","81093313","81.09","62.57%","35","231.70%","39.11%","","","https://www.amazon.co.uk/Underworld-Blood-Wars-Kate-Beckinsale/dp/B01NH61OND/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546977646&sr=1-1&keywords=Underworld3A+Blood+Wars",NA,NA,NA,NA,"Jan 6, 2017",NA
"Unforgettable ",2017,"original screenplay","25","45","35",34,"31","3","33","3",NA,"thriller","4785431","4.79","11368012",11.37,"6.4","6400000","17768012","17.77","36.02%","12","148.07%","39.88%","","","https://www.amazon.co.uk/Unforgettable-Katherine-Heigl/dp/B06ZYRHSNN/ref=sr_1_4?s=instant-video&ie=UTF8&qid=1546981637&sr=1-4&keywords=Unforgettable",NA,NA,NA,NA,"Apr 21, 2017",NA
"Valerian and the City of a Thousand Planets",2017,"adaptation","49","51","50",55,"65","-10","60","-10",NA,"sci-fi","17007624","17.01","40479370",40.48,"184.68","184684740","225164110","225.16","82.02%","177.2","127.07%","9.60%","","","https://www.amazon.co.uk/Valerian-City-Thousand-Planets-DeHaan/dp/B0747NQKRJ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980052&sr=1-1&keywords=Valerian+and+the+City+of+a+Thousand+Planets",NA,NA,NA,NA,"Jul 21, 2017",NA
"Victoria and Abdul",2017,"based on a true story","65","57","61",71,"54","17","63","-2",NA,"drama","158845","0.16","22150990",22.15,"41.51","41508267","63659257","63.66","65.20%","62.8","101.37%","0.25%","","","https://www.amazon.co.uk/Victoria-Abdul-Judi-Dench/dp/B075L417XB/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980911&sr=1-1&keywords=Victoria+and+Abdul",NA,NA,NA,NA,"Sep 22, 2017",NA
"War for the Planet of the Apes",2017,"sequel","93","82","88",84,"81","3","83","5",NA,"sci-fi, action","56262929","56.26","146880162",146.88,"343.78","343784076","490664238","490.66","70.07%","150","327.11%","37.51%","","","https://www.amazon.co.uk/War-Planet-Apes-Matt-Reeves/dp/B073XTBHJX/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981573&sr=1-1&keywords=War+for+the+Planet+of+the+Apes",NA,NA,NA,NA,"Jul 14, 2017",NA
"Wind River",2017,"based on a true story","87","73","80",91,"77","14","84","-4",NA,"drama","161558","0.16","33800859",33.8,"0","0","33800859","33.8","0.00%","11","307.28%","1.47%","","","https://www.amazon.co.uk/Wind-River-Jeremy-Renner/dp/B077PFKFVN/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980625&sr=1-1&keywords=Wind+River",NA,NA,NA,NA,"Aug 18, 2017",NA
"Wish Upon",2017,"original screenplay","17","32","25",32,"40","-8","36","-12",NA,"horror","5467084","5.47","14301505",14.3,"0","0","14301505","14.3","0.00%","12","119.18%","45.56%","","","https://www.amazon.co.uk/Wish-Upon-Joey-King/dp/B077BJ5LHP/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978961&sr=1-1&keywords=Wish+Upon",NA,NA,NA,NA,"Jul 14, 2017",NA
"Wonder",2017,"adaptation","85","66","76",91,"77","14","84","-9",NA,"drama","27547866","27.55","103024892",103.02,"29.34","29335820","132360712","132.36","22.16%","20","661.80%","137.74%","","","https://www.amazon.co.uk/Wonder-Jacob-Tremblay/dp/B077T9YBQ3/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980375&sr=1-1&keywords=Wonder",NA,NA,NA,NA,"Nov 17, 2017",NA
"Wonder Woman",2017,"adaptation","92","76","84",89,"78","11","84","1",NA,"action, adventure","103251471","103.25","412563408",412.56,"409.2","409200000","821763408","821.76","49.80%","149","551.52%","69.30%","","","https://www.amazon.co.uk/Wonder-Woman-Gal-Gadot/dp/B071P79C7X/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980954&sr=1-1&keywords=Wonder+Woman",NA,NA,NA,NA,"Jun 2, 2017",NA
"xXx: The Return of Xander Cage",2017,"sequel","45","42","44",38,"48","-10","43","1",NA,"action, adventure","20130142","20.13","44898413",44.9,"301.25","301249245","346147658","346.15","87.03%","85","407.23%","23.68%","","","https://www.amazon.co.uk/xXx-Return-Xander-Vin-Diesel/dp/B01N4N8Q65/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980971&sr=1-1&keywords=xXx3A+The+Return+of+Xander+Cage",NA,NA,NA,NA,"Jan 20, 2017",NA
"Your Name.",2017,"adaptation","97","79","88",94,"90","4","92","-4",NA,"animation","1813781","1.81","5017246",5.02,"350.28","350281024","355298270","355.3","98.59%","-","-","-","","","https://www.amazon.co.uk/Your-English-Dubbed-Michael-Sinterniklaas/dp/B077XK82LD/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980636&sr=1-1&keywords=Your+Name.",NA,NA,NA,NA,"Apr 7, 2017",NA
"12 Strong",2018,"adaptation","53","54","54",64,"63","1","64","-10",NA,"drama","15815025","15.8","45500164",46,"22","21533253","67033417","670","32.12%","35","191.52%","45.19%",NA,NA,"https://www.amazon.com/12-Strong-Michael-Shannon/dp/B0791T5DTV/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964021&sr=1-2&keywords=12+Strong",NA,NA,NA,NA,"Jan 19, 2018",NA
"7 Days in Entebbe",2018,"based on a true story","26","49","38",39,"59","-20","49","-12",NA,"thriller, suspense","1592645","1.6","3189220",3,"5","5465548","8654768","87","63.15%","-","-","-",NA,NA,"https://www.amazon.com/7-Days-Entebbe-Daniel-BrC3BChl/dp/B07BF8T78W/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964038&sr=1-2&keywords=7+Days+in+Entebbe",NA,NA,NA,NA,"Mar 16, 2018",NA
"A Quiet Place",2018,"original screenplay","95","82","89",83,"75","8","79","10",NA,"horror","50203562","50.2","188024361",188,"145","144559086","332583447","3326","43.47%","17","1956.37%","295.32%",NA,NA,"https://www.amazon.com/Quiet-Place-Emily-Blunt/dp/B07BYSTXMF/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964056&sr=1-2&keywords=A+Quiet+Place",NA,NA,NA,NA,"Apr 6, 2018",NA
"A Simple Favor",2018,"adaptation","85","67","76",77,"70","7","74","3",NA,"thriller","16011689","16.0","53548586",54,"41","41285014","94833600","948","43.53%","20","-","-",NA,NA,"https://www.amazon.com/Simple-Favor-Anna-Kendrick/dp/B07HHWHRS9/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546963941&sr=1-1&keywords=A+Simple+Favor",NA,NA,NA,NA,"Sep 14, 2018",NA
"A Star is Born",2018,"remake","90","88","89",81,"86","-5","84","6",NA,"drama","42908051","42.9","202110867",202,"188","188000000","390110867","3901","48.19%","36","1083.64%","119.19%",NA,NA,"-",NA,NA,NA,NA,"Oct 5, 2018",NA
"A Wrinkle in Time",2018,"adaptation","42","53","48",29,"29","0","29","19",NA,"adventure","33123609","33.1","100478608",100,"32","32197256","132675864","1327","24.27%","125","106.14%","26.50%",NA,NA,"https://www.amazon.com/Wrinkle-Time-Oprah-Winfrey/dp/B07B3PW72Q/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964078&sr=1-2&keywords=A+Wrinkle+in+Time",NA,NA,NA,NA,"Mar 9, 2018",NA
"A.X.L.",2018,"original screenplay","33","31","32",64,"50","14","57","-25",NA,"drama","2798229","2.8","3000943",3,"-","-","3000943","30","-","10","30.01%","27.98%",NA,NA,"https://www.amazon.com/X-L-Becky-G/dp/B07KY65QBP/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546964091&sr=1-1&keywords=A.X.L.",NA,NA,NA,NA,"Aug 24, 2018",NA
"Action Point",2018,"original screenplay","19","37","28",29,"37","-8","33","-5",NA,"comedy","2390164","2.4","5059608",5,"-","-","5059608","51","-","19","26.63%","12.58%",NA,NA,"https://www.amazon.com/Action-Point-Johnny-Knoxville/dp/B07DD6DNJ6/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964108&sr=1-2&keywords=Action+Point",NA,NA,NA,NA,"Jun 1, 2018",NA
"Adrift",2018,"based on a true story","73","56","65",67,"63","4","65","-1",NA,"drama","11603039","11.6","31445011",31,"22","21900001","53345012","533","41.05%","35","152.41%","33.15%",NA,NA,"https://www.amazon.com/Adrift-Shailene-Woodley/dp/B07DGLJM3X/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964130&sr=1-2&keywords=Adrift",NA,NA,NA,NA,"Jun 1, 2018",NA
"Alpha",2018,"original screenplay","83","63","73",79,"68","11","74","-1",NA,"adventure","10352512","10.4","21083037",21,"9","8752823","29835860","298","29.34%","51","58.50%","20.30%",NA,NA,"https://www.amazon.com/Alpha-Kodi-Smit-McPhee/dp/B07GJV8S5R/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546964141&sr=1-1&keywords=Alpha",NA,NA,NA,NA,"Aug 17, 2018",NA
"American Animals",2018,"based on a true story","86","66","76",85,"80","5","83","-7",NA,"thriller, suspense","134793","0.1","2853526",3,"-","-","2853526","29","-","3","95.12%","4.49%",NA,NA,"https://www.amazon.com/American-Animals-Evan-Peters/dp/B07DD6WNTN/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964446&sr=1-2&keywords=American+Animals",NA,NA,NA,NA,"Jun 1, 2018",NA
"Annihilation",2018,"adaptation","87","79","83",66,"72","-6","69","14",NA,"thriller, suspense","11071584","11.1","32732301",33,"-","-","32732301","327","-","40","81.83%","27.68%",NA,NA,"https://www.amazon.com/Annihilation-Natalie-Portman/dp/B079YYHM9Z/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964458&sr=1-2&keywords=Annihilation",NA,NA,NA,NA,"Feb 23, 2018",NA
"Ant-Man and the Wasp",2018,"sequel","88","70","79",80,"74","6","77","2",NA,"action","75812205","75.8","211630916",212,"333","333301651","544932567","5449","61.16%","195","279.45%","38.88%",NA,NA,"https://www.amazon.com/Ant-Man-Wasp-Paul-Rudd/dp/B07F1HTM3K/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964477&sr=1-2&keywords=Ant-Man+and+the+Wasp",NA,NA,NA,NA,"Jul 6, 2018",NA
"Aquaman ",2018,"adaptation","65","55","60",80,"73","7","77","-17",NA,"action, adventure","67873522","67.9","259720880",260,"681","681000000","940720880","9407","72.39%","160","-","-",NA,NA,"-",NA,NA,NA,NA,"Dec 21, 2018",NA
"Avengers: Infinity War",2018,"sequel","83","68","76",91,"85","6","88","-13",NA,"action","257698183","257.7","678690536",679,"1367","1367467024","2046157560","20462","66.83%","321","637.04%","80.23%",NA,NA,"https://www.amazon.com/Avengers-Infinity-Robert-Downey-Jr/dp/B07CKQ4R7X/ref=sr_1_3?s=instant-video&ie=UTF8&qid=1546969990&sr=1-3&keywords=Avengers3A+Infinity+War",NA,NA,NA,NA,"Apr 27, 2018",NA
"Baaghi 2",2018,"sequel","33","-","-",58,"-","-","-","-",NA,"action","650722","0.7","1319579",1,"30","29890510","31210089","312","95.77%","8.41","371.11%","7.74%",NA,NA,"-",NA,NA,NA,NA,"Mar 30, 2018",NA
"Bad Samaritan",2018,"original screenplay","54","42","48",73,"65","8","69","-21",NA,"thriller, suspense","1726868","1.7","3424744",3,"-","-","3424744","34","-","-","-","-",NA,NA,"https://www.amazon.com/Bad-Samaritan-David-Tennant/dp/B07F1L2CTZ/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970011&sr=1-2&keywords=Bad+Samaritan",NA,NA,NA,NA,"May 4, 2018",NA
"Bad Times at the El Royale",2018,"original screenplay","74","60","67",75,"74","1","75","-8",NA,"thriller","7132647","7.1","17839115",18,"14","13777762","31616877","316","43.58%","32","98.80%","22.29%",NA,NA,"https://www.amazon.com/Bad-Times-at-El-Royale/dp/B07J5PVR6M/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970025&sr=1-1&keywords=Bad+Times+at+the+El+Royale",NA,NA,NA,NA,"Oct 12, 2018",NA
"Beirut (aka The Negotiator)",2018,"original screenplay","83","69","76",56,"66","-10","61","15",NA,"action","1734497","1.7","5019226",5,"2","2239308","7258534","73","30.85%","-","-","-",NA,NA,"-",NA,NA,NA,NA,"Apr 13, 2018",NA
"Black Panther",2018,"original screenplay","97","88","93",79,"67","12","73","20",NA,"action","202003951","202.0","700059566",700,"647","646784468","1346844034","13468","48.02%","205","657.00%","98.54%",NA,NA,"https://www.amazon.com/Black-Panther-Plus-Bonus-Content/dp/B079S4NZ2R/ref=sr_1_3?s=instant-video&ie=UTF8&qid=1546970045&sr=1-3&keywords=Black+Panther",NA,NA,NA,NA,"Feb 16, 2018",NA
"BlacKkKlansman",2018,"based on a true story","95","83","89",79,"76","3","78","12",NA,"thriller, suspense","10845330","10.8","32316575",32,"9","9325905","41642480","416","22.40%","15","277.62%","72.30%",NA,NA,"https://www.amazon.com/Blackkklansman-John-David-Washington/dp/B07G7GRTVH/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970084&sr=1-1&keywords=BlacKkKlansman",NA,NA,NA,NA,"Aug 10, 2018",NA
"Blindspotting",2018,"original screenplay","93","76","85",90,"79","11","85","0",NA,"drama","338999","0.3","4153783",4,"0","25419","4179202","42","0.61%","-","-","-",NA,NA,"https://www.amazon.com/Blindspotting-Daveed-Diggs/dp/B07G4N3J9R/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970094&sr=1-1&keywords=Blindspotting",NA,NA,NA,NA,"Jul 20, 2018",NA
"Blockers",2018,"original screenplay","83","69","76",50,"62","-12","56","20",NA,"comedy","20556350","20.6","59839515",60,"34","33835271","93674786","937","36.12%","21","446.07%","97.89%",NA,NA,"https://www.amazon.com/Blockers-Leslie-Mann/dp/B07BW7954L/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970107&sr=1-2&keywords=Blockers",NA,NA,NA,NA,"Apr 6, 2018",NA
"Bohemian Rhapsody",2018,"based on a true story","62","49","56",90,"82","8","86","-31",NA,"drama","51061119","51.1","193673825",194,"550","550032290","743706115","7437","73.96%","52","1430.20%","98.19%",NA,NA,"https://www.amazon.com/Bohemian-Rhapsody-Rami-Malek/dp/B07K2LGD2B/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970119&sr=1-1&keywords=Bohemian+Rhapsody",NA,NA,NA,NA,"Nov 2, 2018",NA
"Book Club",2018,"original screenplay","53","53","53",57,"48","9","53","1",NA,"comedy","13582231","13.6","68566296",69,"-","-","68566296","686","-","10","685.66%","135.82%",NA,NA,"https://www.amazon.com/Book-Club-Diane-Keaton/dp/B07CYTJWR2/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970284&sr=1-2&keywords=Book+Club",NA,NA,NA,NA,"May 18, 2018",NA
"Breaking In",2018,"original screenplay","27","42","35",32,"39","-7","36","-1",NA,"thriller, suspense","17630285","17.6","46383120",46,"5","4545500","50928620","509","8.93%","6","848.81%","293.84%",NA,NA,"https://www.amazon.com/Breaking-Gabrielle-Union/dp/B07FK573KK/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970294&sr=1-2&keywords=Breaking+In",NA,NA,NA,NA,"May 11, 2018",NA
"Bumblebee",2018,"sequel","93","67","80",79,"76","3","78","3",NA,"sci-fi, action","21654047","21.7","97128140",97,"192","192000000","289128140","2891","66.41%","135","214.17%","16.04%",NA,NA,"https://www.amazon.com/Bumblebee-Hailee-Steinfeld/dp/B07L6N8ZJT/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970308&sr=1-1&keywords=Bumblebee",NA,NA,NA,NA,"Dec 21, 2018",NA
"Call Me By Your Name",2018,"adaptation, sequel","95","93","94",85,"78","7","82","13",NA,"drama","1437889","1.4","18095701",18,"24","23603117","41698818","417","56.60%","3.5","1191.39%","41.08%",NA,NA,"https://www.amazon.com/Call-Your-Name-Armie-Hammer/dp/B0791VJLVB/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970323&sr=1-2&keywords=Call+Me+By+Your+Name",NA,NA,NA,NA,"Jan 19, 2018 (limited), Jan 26, 2018  ",NA
"Chappaquiddick",2018,"based on a true story","80","67","74",70,"74","-4","72","2",NA,"thriller, suspense","5765854","5.8","17395521",17,"1","591150","17986671","180","3.29%","34","52.90%","16.96%",NA,NA,"https://www.amazon.com/Chappaquiddick-Jason-Clarke/dp/B07DFS89PM/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970341&sr=1-2&keywords=Chappaquiddick",NA,NA,NA,NA,"Apr 6, 2018",NA
"Christopher Robin",2018,"adaptation","71","59","65",87,"76","11","82","-17",NA,"adventure","24585139","24.6","78163501",78,"37","37391937","115555438","1156","32.36%","75","154.07%","32.78%",NA,NA,"https://www.amazon.com/Christopher-Robin-Ewan-McGregor/dp/B07FVT3WF4/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970354&sr=1-1&keywords=Christopher+Robin",NA,NA,NA,NA,"Aug 3, 2018",NA
"Crazy Rich Asians",2018,"adaptation","93","74","84",89,"71","18","80","4",NA,"comedy","26510140","26.5","79282410",79,"12","11603963","90886373","909","12.77%","30","302.95%","88.37%",NA,NA,"https://www.amazon.com/Crazy-Rich-Asians-Constance-Wu/dp/B07JWGJ49W/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970365&sr=1-1&keywords=Crazy+Rich+Asians",NA,NA,NA,NA,"Aug 15, 2018",NA
"Creed II",2018,"sequel","83","66","75",84,"73","11","79","-4",NA,"drama","35574710","35.6","114388337",114,"30","30300000","144688337","1447","20.94%","50","289.38%","71.15%",NA,NA,"https://www.amazon.com/Creed-II-Michael-B-Jordan/dp/B07KQ23PG1/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970376&sr=1-1&keywords=Creed+II",NA,NA,NA,NA,"Nov 21, 2018",NA
"Deadpool 2",2018,"sequel","82","66","74",86,"78","8","82","-8",NA,"action","125507153","125.5","318402623",318,"416","415641416","734044039","7340","56.62%","110","667.31%","114.10%",NA,NA,"https://www.amazon.com/Deadpool-2-Ryan-Reynolds/dp/B07D5KWFJ7/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970385&sr=1-2&keywords=Deadpool+2",NA,NA,NA,NA,"May 18, 2018",NA
